"","latitude","longitude"
"43748",18.1506,-66.7719
"44666",18.4653,-67.0525
"45281",18.0717,-66.1428
"46107",18.0514,-66.4986
"46475",18.2264,-65.9114
"47476",18.0331,-67.0722
"48307",17.9722,-67.0461
"49168",18.4308,-66.4661
"49990",18.1511,-66.9889
"50847",18.1725,-66.9872
"51389",18.2539,-67.1486
"51418",18.2972,-65.29
"52493",18.4736,-67.0289
"53192",18.3344,-66.4078
"54233",18.3169,-65.8664
"55310",18.385,-66.43
"56385",18.265,-65.7208
"57425",18.0586,-66.7183
"57431",18.0258,-66.5253
"57986",18.3375,-67.2497
"58406",18.2425,-65.785
"59116",18.3906,-66.0542
"59659",18.0889,-66.93
"60591",18.4311,-65.9917
"61656",18.1517,-65.9589
"62571",18.0097,-66.8847
"63246",18.4356,-66.1678
"64224",18.1731,-66.4928
"64722",18.3283,-66.0164
"65348",18.255,-65.6408
"66130",18.4325,-66.0108
"67209",43.7333,-96.6333
"67265",40.568,-98.5069
"67509",40.5093,-98.5493
"68120",40.4798,-98.4026
"69097",40.4372,-98.5912
"69106",40.5389,-98.4713
"69190",40.4953,-98.2973
"69403",40.5532,-98.6297
"69651",40.62,-98.39
"69666",40.6567,-98.4789
"69764",40.6114,-98.5543
"70349",40.5936,-98.4299
"71004",40.3901,-98.2715
"71116",40.5536,-98.3166
"71134",40.3571,-98.4208
"72047",40.6129,-98.6482
"72297",40.607,-98.4588
"72453",40.5609,-98.402
"72788",40.6121,-98.3888
"72818",40.5443,-98.4208
"73021",40.4166,-98.5341
"73958",40.58,-98.3717
"74977",40.6607,-98.5535
"75087",42.3374,-98.2405
"75113",41.6415,-103.9481
"75123",41.5037,-103.7634
"75129",41.6804,-103.6852
"75248",41.9043,-100.2657
"75438",41.8194,-100.1071
"75494",41.5249,-97.9933
"75637",41.6402,-97.9951
"76644",41.6685,-97.8945
"76649",41.6689,-98.1166
"77198",42.1911,-102.9518
"78125",42.1486,-102.749
"78380",42.1675,-102.8005
"78448",42.2712,-103.141
"78671",42.3968,-102.8848
"78698",42.1138,-102.8901
"79294",42.2981,-102.8596
"79661",42.3167,-103.0787
"79664",42.3263,-102.9934
"80221",42.2357,-103.3072
"80637",42.3248,-100.061
"80734",40.7062,-99.1142
"81273",40.6908,-99.094
"81984",40.9223,-99.3868
"82716",40.9903,-98.8699
"82949",40.9593,-98.9631
"83943",40.9728,-98.8024
"83945",40.7412,-99.1602
"84027",40.8144,-98.8403
"84223",40.7853,-99.1653
"85264",40.8153,-98.8355
"85529",41.6965,-96.3619
"85823",41.185,-97.2542
"86092",41.158,-96.9952
"86715",41.3221,-97.3465
"86984",41.2557,-97.1301
"87128",40.9946,-95.8976
"87878",40.865,-96.1171
"88376",40.8048,-96.4467
"88489",41.0289,-95.9874
"88971",42.628,-97.27
"88987",42.7652,-97.3027
"89603",42.8151,-97.4648
"90161",42.4971,-97.2691
"90610",42.5654,-97.1363
"90881",42.6702,-97.1716
"91042",42.3722,-97.3592
"91163",42.6787,-97.4261
"91385",42.7043,-97.3915
"91503",42.7285,-97.2466
"91602",40.5158,-101.6451
"92153",40.4629,-101.5907
"92893",40.4085,-101.6227
"93513",40.6615,-101.4202
"93520",40.5667,-101.7244
"93734",40.4836,-101.9051
"94040",40.6768,-101.9156
"94121",40.5227,-101.9864
"94382",40.6122,-101.3454
"94473",40.5059,-101.4966
"94518",40.4253,-101.4242
"94555",40.6832,-101.6432
"94797",40.4213,-101.7182
"95000",40.4702,-101.748
"95015",40.4688,-101.541
"95967",40.4434,-101.7821
"96171",40.3773,-101.855
"96195",40.393,-101.7795
"96301",40.4309,-101.4868
"96591",40.6539,-101.4379
"96640",40.6376,-101.4573
"97246",40.4152,-101.3746
"97356",42.1461,-100.5307
"97358",42.872,-100.5448
"97458",42.9975,-100.2211
"97459",42.4568,-100.5756
"97532",42.3536,-100.6312
"97611",42.9375,-101.2438
"97848",42.9955,-101.7119
"98001",42.82,-101.2825
"98449",42.4186,-101.557
"98526",42.6638,-100.6651
"98601",41.2638,-102.8855
"99093",41.04,-102.96
"99279",41.127,-102.97
"99509",41.1491,-102.6355
"99539",41.1059,-102.8108
"99559",41.3766,-103.0495
"99684",41.2225,-102.726
"99694",41.414,-102.695
"100239",41.3722,-103.1112
"100367",41.3264,-102.9948
"101336",41.1554,-102.9844
"102317",41.1289,-102.9701
"102520",41.1772,-103.2022
"102622",41.0317,-102.9277
"103012",41.0675,-102.6314
"103139",41.0246,-103.2684
"103156",41.1334,-103.2254
"103177",41.0622,-103.2221
"104072",41.189,-103.2204
"104546",41.0492,-103.1975
"104808",41.0856,-102.6689
"104883",41.1339,-102.9777
"105103",40.3504,-97.897
"105239",40.5318,-98.107
"105672",40.4019,-97.9945
"105902",40.4549,-98.0329
"106629",40.6115,-98.2773
"106963",40.4615,-98.0694
"107101",40.5402,-98.2414
"107255",40.5245,-98.1652
"107411",40.4813,-98.1273
"107566",40.4473,-98.0466
"107643",40.4086,-98.1087
"107920",40.5967,-97.8673
"107965",40.6236,-98.0925
"108751",40.5199,-98.0526
"108968",40.6101,-97.8621
"109114",41.7014,-97.0731
"109433",41.5837,-97.0027
"109636",41.596,-97.1614
"109864",41.8664,-96.7995
"110398",41.9103,-96.6379
"110491",41.9301,-96.8078
"110719",42.0149,-96.5756
"111264",41.4206,-100.1929
"111366",41.1492,-100.1954
"111367",41.2685,-99.5322
"111684",41.1759,-99.6131
"112035",41.6293,-99.9052
"112193",41.5419,-100.0685
"113071",41.7171,-99.9848
"114050",41.2793,-100.1589
"114876",41.4517,-99.9745
"115679",41.409,-99.4638
"116653",41.4189,-99.8858
"117039",41.5661,-100.0212
"117261",41.2888,-99.9237
"118205",41.2868,-99.7077
"118401",41.4004,-99.5844
"118807",41.6273,-99.741
"118965",41.412,-99.6378
"119412",41.4816,-99.8928
"119790",42.3484,-96.6192
"120483",42.3882,-96.5916
"120895",42.8304,-102.9956
"120958",42.7177,-103.0117
"121068",42.6675,-103.2848
"121187",42.6256,-102.8125
"121496",42.5602,-103.0704
"121678",42.5495,-103.3619
"121933",42.4525,-102.9868
"122786",42.4672,-103.145
"123104",42.5116,-103.1096
"123352",42.8475,-103.0671
"123415",42.668,-103.0668
"124165",42.4549,-103.2334
"125081",40.8658,-99.8494
"126101",40.78,-99.72
"127160",41.0007,-100.1654
"127161",40.7966,-99.9956
"128197",40.9455,-99.5599
"128795",40.9238,-99.4457
"129425",40.7471,-99.4578
"129744",40.7099,-100.1229
"129745",40.8715,-99.981
"130064",40.9394,-100.1577
"130101",41.1496,-102.3234
"130305",41.0613,-102.0896
"130448",41.1297,-102.4565
"130747",41.0025,-102.241
"131748",41.1828,-102.5743
"131939",41.0942,-102.4764
"131984",41.668,-96.628
"132285",41.199,-96.1841
"132683",41.2582,-96.1784
"133289",41.2658,-95.9927
"134312",41.2811,-96.1593
"134432",41.2166,-96.1456
"134732",41.1977,-96.0737
"135066",41.2844,-96.1014
"135480",41.3639,-96.1558
"136131",41.2523,-96.1839
"136470",41.269,-96.116
"136473",41.3114,-96.1412
"136558",41.3003,-96.0398
"137493",41.3553,-96.2138
"137530",41.2538,-96.3304
"137658",41.2499,-96.1714
"137705",41.3121,-96.1779
"137772",41.206,-96.1812
"138755",41.2687,-95.9869
"138861",41.3348,-96.366
"139168",40.1765,-101.39
"139825",40.2061,-101.3638
"139827",40.2787,-101.6933
"140042",40.1177,-101.7821
"140867",40.1548,-101.4734
"141320",40.0757,-101.5947
"141654",40.3361,-101.4339
"142617",40.139,-101.8625
"142828",40.1078,-101.5849
"142961",40.3347,-101.3795
"143298",40.12,-101.7334
"144052",40.6386,-97.556
"144110",40.634,-97.5841
"144994",40.5402,-97.672
"145206",40.4067,-97.3739
"146173",40.5866,-97.6917
"146479",40.5357,-97.4347
"146483",40.4362,-97.483
"146914",40.2732,-99.0295
"147792",40.2623,-99.1075
"147972",40.2776,-99.1562
"148991",40.2478,-98.8561
"149184",40.0576,-99.1572
"149506",40.3363,-99.0419
"149758",40.0999,-98.9228
"150132",40.5556,-100.4389
"150407",40.3726,-100.4113
"150408",40.6295,-100.5277
"151173",40.6595,-100.6237
"151429",40.631,-100.5159
"151661",40.6199,-100.0473
"151663",40.6901,-100.0995
"152352",40.57,-100.1177
"152509",40.4028,-100.6412
"152564",40.5081,-100.6456
"152719",40.5523,-100.0582
"153004",40.3882,-100.1712
"153947",40.5422,-100.2858
"154038",40.5021,-100.5022
"154153",40.0502,-99.8189
"154760",40.0887,-99.892
"155008",40.1478,-99.8943
"155515",40.133,-99.8238
"156155",40.2463,-99.9516
"156345",40.3083,-99.9056
"156435",40.2215,-100.1086
"156687",40.2854,-100.179
"156793",40.0451,-100.0164
"156973",40.0525,-96.5774
"157558",40.0086,-96.7029
"157719",40.5008,-96.7049
"157885",40.2911,-96.5367
"158533",40.1312,-96.6284
"158544",40.377,-96.9086
"158793",40.118,-96.879
"159858",40.4914,-96.5204
"160069",41.3342,-102.5328
"160094",41.9762,-102.3879
"160668",41.4039,-102.3447
"161076",41.2373,-102.4249
"161491",41.388,-102.179
"161629",41.7952,-99.1076
"161696",42.058,-98.9925
"162178",41.7223,-99.02
"162262",41.7533,-99.1485
"163240",41.8256,-99.1867
"163331",41.9688,-99.1466
"163401",40.4379,-99.8351
"163975",40.3873,-99.973
"164092",40.4087,-99.6633
"164290",41.9993,-101.7542
"164297",41.8993,-101.9545
"164465",41.9721,-101.4685
"164472",41.4238,-98.6947
"164619",41.4663,-98.6272
"165681",41.6869,-98.3657
"165953",41.582,-98.6543
"166208",41.581,-98.3857
"166427",41.4611,-98.4383
"166521",40.9294,-98.3767
"166932",40.9187,-98.3863
"167351",40.9407,-98.3474
"167353",40.8585,-98.3781
"168124",40.7874,-98.3029
"168507",41.0376,-98.6071
"168845",41.018,-98.3042
"169418",40.8229,-98.5984
"169581",40.7734,-98.4137
"170574",41.0018,-98.6143
"170859",40.9357,-98.3378
"171157",40.8215,-98.4201
"171158",40.7859,-98.6834
"171605",40.8883,-98.5447
"171606",40.8873,-98.7113
"172053",40.9435,-98.3695
"172321",40.9894,-98.5117
"172616",40.9436,-98.3706
"172924",40.7921,-98.6456
"173367",41.0539,-97.8878
"173406",40.8863,-97.8748
"173866",40.8598,-97.8425
"173932",40.8583,-97.9881
"174557",40.878,-97.8801
"174688",41.0058,-97.9481
"174691",40.7849,-98.169
"174913",41.0348,-97.8459
"175320",40.8728,-98.0833
"175366",40.9503,-97.9988
"175659",40.989,-97.9976
"176411",40.1765,-99.5579
"176564",40.0983,-99.3626
"176778",40.1176,-99.2433
"176893",40.1273,-99.5572
"177071",40.3073,-99.3492
"177238",40.129,-99.4512
"177438",40.4525,-100.9292
"178020",40.5106,-101.0202
"178596",40.3999,-101.2766
"178833",40.6963,-101.1418
"178983",40.6107,-100.8519
"178984",40.3518,-101.0865
"179136",40.5537,-101.2957
"179191",40.3725,-101.0376
"179504",40.6565,-100.8098
"179510",40.2357,-100.7952
"179554",40.0882,-100.7859
"180353",40.1828,-101.0122
"180405",40.1894,-101.2458
"180406",40.296,-101.0147
"180585",40.0195,-100.8266
"180651",40.3353,-101.1509
"180890",40.2556,-101.277
"181001",40.2336,-100.8971
"181013",40.2336,-100.8003
"181206",42.4604,-98.6583
"181512",42.3993,-98.4178
"181651",42.1911,-98.6634
"181816",42.1751,-98.4855
"182061",42.7982,-98.6506
"182377",42.7098,-98.5693
"182378",42.0437,-101.0391
"182629",41.9258,-101.146
"182841",42.162,-100.6148
"182842",41.2185,-98.4512
"183345",41.2915,-98.6149
"183848",41.0732,-98.7139
"183910",41.0902,-98.5014
"184038",41.122,-98.5533
"185079",41.3219,-98.3255
"185117",41.323,-98.7126
"185566",41.1063,-98.672
"186068",40.0284,-96.9355
"186725",40.082,-97.3306
"187625",40.2669,-97.3169
"188187",40.2049,-97.3243
"188363",40.1518,-97.3339
"188417",40.25,-97.217
"189180",40.0599,-97.0435
"190189",40.304,-96.9906
"190343",40.3318,-96.9568
"190557",40.3073,-97.3119
"191346",40.1971,-96.9734
"191633",40.1478,-97.0921
"191684",40.1468,-97.1524
"191838",40.3296,-97.1982
"192035",40.3776,-96.1679
"192275",40.4644,-96.2337
"192518",40.2912,-96.1986
"192791",40.3428,-96.1039
"193055",40.4431,-96.3216
"194122",40.3026,-96.4185
"194641",40.4471,-96.4384
"195505",40.4239,-96.2904
"195901",40.2914,-96.2829
"196003",40.4618,-96.3787
"196101",40.3777,-96.3155
"196663",40.3348,-96.2326
"197147",40.4168,-96.3687
"197817",40.5124,-96.3892
"198415",40.3622,-99.1735
"199388",40.351,-99.0469
"199525",40.4877,-98.9526
"199703",40.4368,-98.7998
"199840",40.4246,-99.0675
"199900",40.3981,-98.7991
"200103",40.5011,-98.9488
"200210",41.1234,-101.7512
"201165",41.1112,-101.6527
"201233",41.1089,-101.8264
"201802",41.1638,-101.3071
"202817",41.1361,-101.719
"202942",41.2119,-101.8374
"203202",41.0991,-101.2871
"203205",41.0171,-101.3722
"203243",41.2894,-103.5118
"203378",41.2296,-103.8541
"203747",42.531,-98.0989
"204103",42.7382,-97.4985
"205071",42.5999,-97.6445
"205179",42.6575,-98.2502
"205181",42.564,-98.27
"205388",42.7661,-97.5637
"206113",40.7633,-96.6833
"206416",40.8081,-96.643
"207326",41.0032,-96.6763
"208155",40.7544,-96.7611
"209041",40.8416,-96.5141
"209234",40.5847,-96.4922
"209784",40.9502,-96.8007
"209799",40.6974,-96.6855
"210656",40.8462,-96.7086
"210770",40.779,-96.6473
"211027",40.7773,-96.733
"211950",40.7392,-96.6529
"212123",40.6519,-96.6271
"212203",40.6934,-96.4893
"212565",40.7889,-96.7413
"213093",41.0211,-96.848
"213362",40.7909,-96.63
"213994",40.7229,-96.6208
"214807",40.9756,-96.7835
"215262",40.7961,-96.6946
"215712",41.0322,-100.8012
"216137",41.221,-101.0835
"216500",41.1987,-100.7017
"216819",41.1294,-100.7497
"216830",41.0575,-100.7573
"217126",41.0466,-100.747
"217320",41.134,-101.1422
"217353",41.1282,-101.4735
"217360",41.182,-100.7158
"217364",41.1675,-101.1375
"218218",41.0844,-100.7844
"218430",41.1666,-101.1259
"219132",41.2286,-101.0567
"219184",41.0829,-101.2404
"220223",40.8603,-100.7018
"220538",40.7887,-100.67
"220925",40.7292,-101.1292
"221064",41.133,-101.0551
"221083",41.094,-100.7886
"221224",41.1243,-100.7879
"222147",40.8348,-101.1623
"222312",40.9079,-100.8678
"222840",41.4078,-100.3959
"223006",41.6577,-100.5488
"223028",41.8687,-99.2908
"223239",41.9398,-99.4823
"223360",41.8713,-99.6604
"223378",42.0484,-97.3999
"223483",41.9859,-97.4129
"223550",42.0261,-97.4007
"223616",42.0509,-97.4395
"223665",42.029,-97.4185
"224154",41.9007,-97.7366
"224230",41.6722,-100.7203
"224352",41.6172,-101.4061
"224405",41.5487,-100.9585
"224423",41.2047,-97.9454
"224678",41.1563,-98.2311
"224898",41.102,-98.2847
"225754",41.1146,-97.9952
"226520",41.2491,-98.2576
"226706",41.9386,-103.2463
"226806",41.4538,-102.7852
"227803",41.4759,-102.8713
"228537",41.5173,-103.2491
"228608",41.4246,-97.7717
"229508",41.3315,-98.1584
"230118",41.3267,-97.9438
"230119",41.4677,-97.8733
"230345",40.3878,-95.8337
"230834",40.3956,-95.6601
"231796",40.5175,-95.8653
"232082",40.4057,-95.9664
"232834",40.4797,-95.9599
"232978",40.4584,-96.0467
"233598",40.2922,-98.2614
"233807",40.1828,-97.9717
"234125",40.288,-98.2581
"234559",40.1042,-98.0117
"235389",40.2348,-97.9049
"235654",40.348,-97.9553
"235753",40.2049,-98.2053
"235837",40.0257,-98.1994
"236061",40.1094,-98.1801
"236414",40.0167,-97.8457
"236707",40.2847,-97.8773
"236744",40.1986,-98.134
"236974",40.2859,-98.1236
"237132",40.2759,-97.9318
"237537",40.3206,-98.2048
"237584",40.1974,-98.0686
"237633",40.2926,-98.0722
"237759",40.1427,-97.8627
"237871",40.2913,-98.2123
"238246",40.6101,-96.3665
"238321",40.6821,-96.3876
"238654",40.5233,-96.1657
"238943",40.5525,-96.108
"239151",40.6564,-96.2243
"239409",40.5341,-96.0222
"239470",40.5479,-95.9716
"239477",40.6626,-96.1782
"239572",40.6805,-95.9663
"239865",40.5368,-96.3143
"240506",40.6635,-95.8646
"240834",40.2327,-96.3912
"240901",40.2182,-96.1401
"241198",40.109,-96.0861
"241331",40.0587,-96.0903
"241452",40.0136,-96.2747
"241537",40.0591,-96.1613
"241598",40.2065,-96.2944
"241940",40.9528,-102.0538
"242091",40.8881,-101.7293
"242095",40.9595,-101.6733
"242395",40.8064,-101.7277
"243384",40.9324,-101.6089
"243642",40.7121,-101.3412
"244069",40.8726,-101.6597
"244290",40.8902,-101.3414
"244463",40.8,-101.3229
"245499",40.7981,-101.4038
"245760",40.7497,-101.9165
"245792",40.7571,-101.6272
"246685",40.9773,-101.4284
"246886",40.9297,-101.7477
"247138",40.8342,-101.695
"247237",40.8464,-101.3915
"247288",40.6981,-102.0273
"247667",40.8492,-101.7244
"248708",40.894,-101.8122
"248839",40.9494,-101.7572
"248998",40.3797,-99.1797
"249142",40.6426,-99.275
"249188",40.5542,-99.2919
"249198",40.4517,-99.5719
"249388",40.5503,-99.3229
"249447",40.4763,-99.5096
"249582",40.5171,-99.2173
"249889",42.2646,-97.7561
"250299",42.2342,-97.5104
"250411",42.2214,-97.6994
"250984",42.1733,-97.64
"251056",41.3878,-97.4313
"251250",41.4502,-97.3727
"251274",41.4746,-97.3803
"251466",41.6142,-97.5231
"251752",41.113,-97.5828
"252230",41.0972,-97.578
"252483",41.2359,-97.5051
"252691",41.2372,-97.5614
"252864",41.2071,-97.4514
"252946",41.3547,-97.425
"253651",41.1065,-97.484
"253861",41.1959,-97.6828
"254818",41.2007,-97.6221
"255128",40.1397,-100.6885
"255510",40.2562,-100.4494
"256343",40.1094,-100.2776
"256471",40.1644,-100.2841
"256541",40.023,-100.5626
"256752",40.238,-100.7522
"256804",40.3302,-100.2865
"257085",40.265,-100.6531
"258145",40.2973,-100.2131
"258174",40.208,-100.633
"258263",40.2002,-100.6235
"258353",40.1399,-95.9726
"258674",40.0997,-95.8073
"259135",40.2292,-95.963
"259475",40.2224,-95.5778
"259577",40.1164,-95.5256
"259952",40.0769,-95.9322
"260040",40.4427,-97.0844
"260141",40.6908,-97.0265
"260383",40.3779,-97.1876
"260628",40.3961,-96.9279
"260781",40.4211,-97.3017
"260817",40.5891,-97.2546
"260827",40.3504,-97.3542
"261837",40.4798,-97.2918
"261838",40.6261,-97.1392
"261870",40.4803,-97.0389
"261914",40.4521,-97.1645
"261997",40.3624,-97.0867
"262251",41.1056,-95.9386
"262631",41.1735,-95.9838
"263318",41.1733,-95.9867
"263387",41.1648,-95.9309
"263512",41.1493,-95.9217
"264200",41.1135,-95.9648
"264528",41.1469,-96.0668
"264588",41.1684,-96.026
"265386",41.1431,-96.0597
"266388",41.1486,-95.9229
"266403",41.1674,-95.95
"267429",41.1869,-96.1851
"267628",41.2882,-96.6431
"267892",41.0604,-96.5828
"268038",41.9894,-103.9365
"268226",41.824,-103.6533
"269100",41.8828,-103.6488
"269234",41.8667,-103.5969
"269379",41.019,-97.2844
"269635",40.8157,-96.9506
"270447",40.9596,-97.0415
"270708",41.0006,-97.3461
"271355",40.873,-97.3044
"271619",40.9459,-97.3433
"272009",40.8292,-96.9898
"272010",40.7722,-97.0583
"272099",40.9207,-97.0893
"272380",40.8911,-97.3456
"273346",41.222,-99.1575
"274231",41.049,-99.1624
"274365",41.1426,-98.8593
"275393",41.3331,-99.054
"275509",41.2787,-98.9704
"276212",41.2754,-99.0104
"276786",41.194,-99.1407
"277044",41.375,-98.9362
"277275",41.1634,-99.1736
"277469",42.8153,-102.1032
"277833",42.6149,-102.4964
"278169",42.6001,-102.5571
"278318",42.3789,-102.3589
"278551",42.9929,-102.4713
"278745",42.4565,-102.6458
"278908",42.6743,-102.3829
"279292",42.5046,-102.5666
"279895",42.874,-102.5471
"280020",42.7892,-102.2954
"280243",42.7598,-102.3491
"280388",42.4978,-102.7413
"280493",42.5082,-102.7341
"280720",42.7314,-102.0857
"281157",42.712,-102.4637
"282168",42.3561,-102.3013
"282311",42.7001,-102.2033
"282435",42.9591,-102.3346
"283144",42.0008,-103.848
"283325",42.5945,-103.8679
"283354",42.9256,-103.7785
"283357",42.3579,-103.7547
"283558",42.5564,-103.5559
"283631",41.8329,-97.3505
"283714",42.0404,-97.1974
"283854",41.9157,-97.3219
"283978",41.9034,-97.0334
"284026",41.9513,-97.2643
"284219",40.3128,-97.8135
"284380",40.3056,-97.637
"284541",40.0776,-97.7571
"284789",40.2377,-97.7531
"285095",40.3135,-97.8026
"285213",40.3503,-97.3685
"285252",40.0469,-97.5767
"285520",40.1493,-97.4241
"285593",40.0167,-97.3871
"285596",40.1034,-97.4907
"285606",40.171,-97.5764
"285960",40.2629,-97.4639
"285997",40.0027,-97.7648
"286197",41.9785,-100.5703
"286240",41.9007,-100.7699
"286270",41.9887,-100.707
"286283",41.976,-100.4567
"286395",41.619,-98.9433
"286396",41.5105,-98.883
"287139",41.6335,-99.0738
"287964",41.7187,-99.0065
"288436",41.4236,-99.042
"288757",41.4239,-99.1593
"289724",41.6059,-99.1773
"289804",41.5983,-98.9241
"290854",41.6693,-99.1267
"291336",41.4139,-96.035
"291527",41.4692,-96.1369
"291753",41.4595,-96.0784
"292408",41.6552,-96.3889
"292460",41.4776,-96.2016
"292527",41.5437,-96.1465
"292631",42.2361,-97.0074
"293274",42.2182,-97.2884
"293501",40.3067,-98.5694
"293646",40.2786,-98.6577
"294668",40.2422,-98.2928
"294669",40.0891,-98.4366
"295701",40.3144,-98.2739
"295767",40.3362,-98.3725
"296007",40.2799,-98.5158
"296283",40.0717,-98.3293
"296430",40.2833,-98.3859
"296548",40.3278,-98.45
"296738",41.9864,-98.5104
"297633",41.7779,-98.3759
"297908",42.0522,-98.5398
"298034",40.8683,-97.574
"298259",40.8622,-97.5935
"298271",41.0186,-97.672
"299033",40.9149,-97.5677
"299102",40.889,-97.6761
"299105",40.7391,-97.4068
"299139",41.0435,-97.427
"299179",40.8868,-97.3948
"300230",40.9758,-97.7336
"300328",41.0357,-97.5205
"300938",40.816,-97.806
"301085",40.8504,-97.4069
"301497",40.793,-97.7499
"301622",40.8584,-97.5774
"302003",40.9234,-97.6173
"302019",40.751,-97.5785
"303022",40.734,-97.598
"303387",41.0079,-97.605
"303501",40.8987,-97.5928
"303529",40.9303,-97.7973
"303789",61.3122,-149.4958
"304789",61.0614,-149.7524
"304874",61.2272,-149.4401
"304916",61.4069,-149.4872
"305470",61.213,-149.7649
"305559",61.1529,-149.9346
"306550",61.1113,-149.846
"307205",64.8933,-147.4436
"307453",64.9276,-147.5387
"308213",64.9186,-147.6304
"309260",64.8447,-147.7973
"309465",58.3568,-134.5313
"309890",61.6995,-149.9897
"310593",61.6185,-149.1258
"311670",62.2272,-150.0731
"312716",61.6058,-149.5233
"312922",55.9553,-133.6178
"313932",59.5201,-135.3503
"314021",61.0958,-146.1967
"314026",61.5229,-166.0981
"314259",56.8139,-132.9536
"314429",32.6444,-86.4302
"314697",32.4825,-86.4854
"315285",33.0359,-86.8858
"315432",33.9554,-86.5439
"315435",33.8584,-86.8679
"316428",33.8029,-86.5601
"317453",34.0913,-86.6066
"318503",33.9416,-86.4555
"319252",33.9153,-86.3464
"320300",33.8902,-86.7567
"320451",33.8713,-86.7518
"320747",34.0752,-86.5563
"321244",34.2305,-86.4792
"322317",31.8233,-86.6517
"322710",30.5483,-87.8887
"323783",30.6424,-87.9076
"324801",30.622,-87.9014
"325840",30.3439,-87.7848
"326863",30.403,-87.6766
"327770",30.5667,-87.9005
"328765",30.4624,-87.7678
"328908",30.6216,-87.7578
"329914",30.3032,-87.5624
"330992",30.3789,-87.6975
"331995",30.5566,-87.9013
"332701",30.6759,-87.8563
"333383",30.5072,-87.9083
"334078",30.5106,-87.907
"334106",30.488,-87.8002
"334679",30.3718,-87.6195
"335706",30.6849,-87.8683
"336611",31.0359,-87.7413
"337644",30.6077,-87.9081
"338556",30.5324,-87.744
"339417",30.3146,-87.7116
"339999",30.5166,-87.8474
"341076",30.3645,-87.6268
"341910",30.5742,-87.8519
"342077",30.5724,-87.8444
"342429",30.6461,-87.8871
"342614",30.5777,-87.8293
"342915",30.5258,-87.8816
"343076",31.2725,-87.1184
"343609",31.3271,-87.2431
"343816",34.4811,-85.5221
"344334",31.3361,-85.8709
"345326",32.8341,-86.4768
"345429",32.9613,-86.6694
"345588",31.6447,-87.854
"346570",34.0438,-87.003
"346647",34.1703,-86.7624
"347700",34.0656,-86.7354
"348772",34.1004,-86.932
"349847",34.2835,-86.9144
"350353",33.8333,-85.7523
"351233",33.7623,-85.8182
"351578",33.754,-85.837
"352093",32.8217,-86.0534
"352773",32.8021,-86.0054
"353284",32.8252,-86.4164
"353425",34.6224,-87.7941
"354449",34.7293,-87.6472
"355504",34.7655,-87.6813
"356554",34.687,-87.6844
"357471",34.6854,-88.0248
"358036",34.7754,-87.4736
"358782",34.7486,-87.6447
"358783",34.6073,-87.6694
"358883",31.9956,-88.2941
"359841",34.5346,-85.7563
"360904",34.4431,-85.7159
"361974",34.4719,-85.8429
"363003",34.8092,-85.595
"363535",34.3171,-85.9816
"363661",31.3039,-85.7896
"364541",32.4042,-87.0546
"365608",32.5504,-86.3845
"366675",32.4895,-86.1468
"366861",32.4785,-86.1786
"366932",32.6267,-86.1276
"366933",32.6784,-86.1402
"368008",32.5741,-86.2877
